pubmed	haspdf	year	journal
26903602	1	2016	EMBO J
26912722	1	2016	EMBO J
26912724	1	2016	EMBO J
26929012	1	2016	EMBO J
26933123	1	2016	EMBO J
26951610	1	2016	EMBO J
26957522	1	2016	EMBO J
26968985	1	2016	EMBO J
27009121	1	2016	EMBO J
27037238	1	2016	EMBO J
27053723	1	2016	EMBO J
27056679	1	2016	EMBO J
27103069	1	2016	EMBO J
27103070	1	2016	EMBO J
27174643	1	2016	EMBO J
27192985	1	2016	EMBO J
27198172	1	2016	EMBO J
27220848	1	2016	EMBO J
27225932	1	2016	EMBO J
27234298	1	2016	EMBO J
27252488	1	2016	EMBO J
27261198	1	2016	EMBO J
27266524	1	2016	EMBO J
27307491	1	2016	EMBO J
27334614	1	2016	EMBO J
27340123	1	2016	EMBO J
27390127	1	2016	EMBO J
27412700	1	2016	EMBO J
27458190	1	2016	EMBO J
27497298	1	2016	EMBO J
27572463	1	2016	EMBO J
27585866	1	2016	EMBO J
27625374	1	2016	EMBO J
27634959	1	2016	EMBO J
27707753	1	2016	EMBO J
27729456	1	2016	EMBO J
27753621	1	2016	EMBO J
27753622	1	2017	EMBO J
27797819	1	2016	EMBO J
27797820	1	2016	EMBO J
27797821	1	2017	EMBO J
27815315	1	2016	EMBO J
27827809	1	2017	EMBO J
27875245	1	2017	EMBO J
27908934	1	2017	EMBO J
27932448	1	2017	EMBO J
27940654	1	2017	EMBO J
27974362	1	2017	EMBO J
27993935	1	2017	EMBO J
28007893	1	2017	EMBO J
28007895	1	2017	EMBO J
28043948	1	2017	EMBO J
28077487	1	2017	EMBO J
28077488	1	2017	EMBO J
28093501	1	2017	EMBO J
28100675	1	2017	EMBO J
28122869	1	2017	EMBO J
28137749	1	2017	EMBO J
28219927	1	2017	EMBO J
28242756	1	2017	EMBO J
28254837	1	2017	EMBO J
28264884	1	2017	EMBO J
28283581	1	2017	EMBO J
28298434	1	2017	EMBO J
28320742	1	2017	EMBO J
28336683	1	2017	EMBO J
28348166	1	2017	EMBO J
28404604	1	2017	EMBO J
28408438	1	2017	EMBO J
28446510	1	2017	EMBO J
28468752	1	2017	EMBO J
28487411	1	2017	EMBO J
28507225	1	2017	EMBO J
28515121	1	2017	EMBO J
28533230	1	2017	EMBO J
28554894	1	2017	EMBO J
28559416	1	2017	EMBO J
28559417	1	2017	EMBO J
28588064	1	2017	EMBO J
28607003	1	2017	EMBO J
28607005	1	2017	EMBO J
28637794	1	2017	EMBO J
28659375	1	2017	EMBO J
28659378	1	2017	EMBO J
28659379	1	2017	EMBO J
28673932	1	2017	EMBO J
28701484	1	2017	EMBO J
28716804	1	2017	EMBO J
28716805	1	2017	EMBO J
28754656	1	2017	EMBO J
28765163	1	2017	EMBO J
28768717	1	2017	EMBO J
28768718	1	2017	EMBO J
28790178	1	2017	EMBO J
28851763	1	2017	EMBO J
28864542	1	2017	EMBO J
28899900	1	2017	EMBO J
28928204	1	2017	EMBO J
28963394	1	2017	EMBO J
28963396	1	2017	EMBO J
28963397	1	2018	EMBO J
28978671	1	2017	EMBO J
29018038	1	2017	EMBO J
29021282	1	2017	EMBO J
29030486	1	2017	EMBO J
29038174	1	2017	EMBO J
29046334	1	2017	EMBO J
29061763	1	2017	EMBO J
29074627	1	2017	EMBO J
29079701	1	2017	EMBO J
29127155	1	2017	EMBO J
29150431	1	2017	EMBO J
29150432	1	2018	EMBO J
29170282	1	2018	EMBO J
29196303	1	2018	EMBO J
29217590	1	2017	EMBO J
29263148	1	2018	EMBO J
29317426	1	2018	EMBO J
29335280	1	2018	EMBO J
29378774	1	2018	EMBO J
29459437	1	2018	EMBO J
29459438	1	2018	EMBO J
29467218	1	2018	EMBO J
29496740	1	2018	EMBO J
29615452	1	2018	EMBO J
29615453	1	2018	EMBO J
29661886	1	2018	EMBO J
29752423	1	2018	EMBO J
29764981	1	2018	EMBO J
29769405	1	2018	EMBO J
29789389	1	2018	EMBO J
29880602	1	2018	EMBO J
20043278	1	2010	EMBO Mol Med
20043279	1	2010	EMBO Mol Med
20091761	1	2010	EMBO Mol Med
20091762	1	2010	EMBO Mol Med
20432503	1	2010	EMBO Mol Med
21154724	1	2010	EMBO Mol Med
21204266	1	2011	EMBO Mol Med
21204268	1	2011	EMBO Mol Med
21387562	1	2011	EMBO Mol Med
21674808	1	2011	EMBO Mol Med
21786422	1	2011	EMBO Mol Med
21853531	1	2011	EMBO Mol Med
21882344	1	2011	EMBO Mol Med
22228679	1	2012	EMBO Mol Med
22383093	1	2012	EMBO Mol Med
22473874	1	2012	EMBO Mol Med
22514136	1	2012	EMBO Mol Med
22517678	1	2012	EMBO Mol Med
22549942	1	2012	EMBO Mol Med
22649008	1	2012	EMBO Mol Med
22674894	1	2012	EMBO Mol Med
22678923	1	2012	EMBO Mol Med
23027611	1	2012	EMBO Mol Med
23109291	1	2012	EMBO Mol Med
23184605	1	2013	EMBO Mol Med
23197407	1	2013	EMBO Mol Med
23401241	1	2013	EMBO Mol Med
23460527	1	2013	EMBO Mol Med
23483716	1	2013	EMBO Mol Med
23495141	1	2013	EMBO Mol Med
23606570	1	2013	EMBO Mol Med
23630012	1	2013	EMBO Mol Med
23681708	1	2013	EMBO Mol Med
23703906	1	2013	EMBO Mol Med
23716398	1	2013	EMBO Mol Med
23723167	1	2013	EMBO Mol Med
23733368	1	2013	EMBO Mol Med
23818182	1	2013	EMBO Mol Med
23828861	1	2013	EMBO Mol Med
23922331	1	2013	EMBO Mol Med
24014320	1	2013	EMBO Mol Med
24115583	1	2013	EMBO Mol Med
24124051	1	2013	EMBO Mol Med
24127415	1	2013	EMBO Mol Med
24127423	1	2013	EMBO Mol Med
24203162	1	2014	EMBO Mol Med
24203314	1	2014	EMBO Mol Med
24293317	1	2013	EMBO Mol Med
24401838	1	2014	EMBO Mol Med
24401839	1	2014	EMBO Mol Med
24408967	1	2014	EMBO Mol Med
24448489	1	2014	EMBO Mol Med
24448490	1	2014	EMBO Mol Med
24448491	1	2014	EMBO Mol Med
24480543	1	2014	EMBO Mol Med
24503019	1	2014	EMBO Mol Med
24567073	1	2014	EMBO Mol Med
24578415	1	2014	EMBO Mol Med
24648499	1	2014	EMBO Mol Med
24797667	1	2014	EMBO Mol Med
24843047	1	2014	EMBO Mol Med
24940003	1	2014	EMBO Mol Med
24952939	1	2014	EMBO Mol Med
24963147	1	2014	EMBO Mol Med
24963148	1	2014	EMBO Mol Med
24968719	1	2014	EMBO Mol Med
24972930	1	2014	EMBO Mol Med
25001218	1	2014	EMBO Mol Med
25007801	1	2014	EMBO Mol Med
25069841	1	2014	EMBO Mol Med
25085879	1	2014	EMBO Mol Med
25100745	1	2014	EMBO Mol Med
25193973	1	2014	EMBO Mol Med
25216727	1	2014	EMBO Mol Med
25330770	1	2014	EMBO Mol Med
25339185	1	2014	EMBO Mol Med
25361689	1	2014	EMBO Mol Med
25385837	1	2014	EMBO Mol Med
25422356	1	2014	EMBO Mol Med
25452586	1	2015	EMBO Mol Med
25504525	1	2015	EMBO Mol Med
25510912	1	2015	EMBO Mol Med
25550395	1	2015	EMBO Mol Med
25586965	1	2015	EMBO Mol Med
25592972	1	2015	EMBO Mol Med
25604058	1	2015	EMBO Mol Med
25617315	1	2015	EMBO Mol Med
25643582	1	2015	EMBO Mol Med
25661904	1	2015	EMBO Mol Med
25666722	1	2015	EMBO Mol Med
25678558	1	2015	EMBO Mol Med
25680861	1	2015	EMBO Mol Med
25693964	1	2015	EMBO Mol Med
25750210	1	2015	EMBO Mol Med
25759365	1	2015	EMBO Mol Med
25770125	1	2015	EMBO Mol Med
25802402	1	2015	EMBO Mol Med
25820275	1	2015	EMBO Mol Med
25825391	1	2015	EMBO Mol Med
25828351	1	2015	EMBO Mol Med
25851535	1	2015	EMBO Mol Med
25851537	1	2015	EMBO Mol Med
25882071	1	2015	EMBO Mol Med
25971796	1	2015	EMBO Mol Med
25978969	1	2015	EMBO Mol Med
25995337	1	2015	EMBO Mol Med
26070712	1	2015	EMBO Mol Med
26077591	1	2015	EMBO Mol Med
26084842	1	2015	EMBO Mol Med
26136358	1	2015	EMBO Mol Med
26139610	1	2015	EMBO Mol Med
26160456	1	2015	EMBO Mol Med
26183450	1	2015	EMBO Mol Med
26194911	1	2015	EMBO Mol Med
26282919	1	2015	EMBO Mol Med
26286618	1	2015	EMBO Mol Med
26417067	1	2015	EMBO Mol Med
26459520	1	2015	EMBO Mol Med
26612856	1	2015	EMBO Mol Med
26671989	1	2015	EMBO Mol Med
26697887	1	2015	EMBO Mol Med
26697888	1	2016	EMBO Mol Med
26772600	1	2016	EMBO Mol Med
26881968	1	2016	EMBO Mol Med
26896449	1	2016	EMBO Mol Med
26902204	1	2016	EMBO Mol Med
26964564	1	2016	EMBO Mol Med
27137492	1	2016	EMBO Mol Med
27737899	1	2016	EMBO Mol Med
28028012	1	2017	EMBO Mol Med
28031255	1	2017	EMBO Mol Med
28069640	1	2017	EMBO Mol Med
28255028	1	2017	EMBO Mol Med
28264935	1	2017	EMBO Mol Med
28270449	1	2017	EMBO Mol Med
28283651	1	2017	EMBO Mol Med
28341702	1	2017	EMBO Mol Med
28341703	1	2017	EMBO Mol Med
28351932	1	2017	EMBO Mol Med
28356312	1	2017	EMBO Mol Med
28373218	1	2017	EMBO Mol Med
28377495	1	2017	EMBO Mol Med
28377496	1	2017	EMBO Mol Med
28396565	1	2017	EMBO Mol Med
28438786	1	2017	EMBO Mol Med
28455312	1	2017	EMBO Mol Med
28490573	1	2017	EMBO Mol Med
28500065	1	2017	EMBO Mol Med
28536304	1	2017	EMBO Mol Med
28554943	1	2017	EMBO Mol Med
28559442	1	2017	EMBO Mol Med
28572090	1	2017	EMBO Mol Med
28588032	1	2017	EMBO Mol Med
28674080	1	2017	EMBO Mol Med
28674081	1	2017	EMBO Mol Med
28701330	1	2017	EMBO Mol Med
28743784	1	2017	EMBO Mol Med
28751579	1	2017	EMBO Mol Med
28751580	1	2017	EMBO Mol Med
28754744	1	2017	EMBO Mol Med
28774883	1	2017	EMBO Mol Med
28818835	1	2017	EMBO Mol Med
28835507	1	2017	EMBO Mol Med
28899928	1	2017	EMBO Mol Med
28899929	1	2017	EMBO Mol Med
28923828	1	2017	EMBO Mol Med
28935714	1	2017	EMBO Mol Med
28947679	1	2017	EMBO Mol Med
28993428	1	2017	EMBO Mol Med
29038312	1	2017	EMBO Mol Med
29084757	1	2017	EMBO Mol Med
29109128	1	2017	EMBO Mol Med
29113976	1	2018	EMBO Mol Med
29138229	1	2018	EMBO Mol Med
29180355	1	2018	EMBO Mol Med
29183916	1	2018	EMBO Mol Med
29208638	1	2018	EMBO Mol Med
29217661	1	2018	EMBO Mol Med
29229785	1	2018	EMBO Mol Med
29242210	1	2018	EMBO Mol Med
29246969	1	2018	EMBO Mol Med
29311134	1	2018	EMBO Mol Med
29335337	1	2018	EMBO Mol Med
29335338	1	2018	EMBO Mol Med
29335339	1	2018	EMBO Mol Med
29343498	1	2018	EMBO Mol Med
29437778	1	2018	EMBO Mol Med
29444897	1	2018	EMBO Mol Med
29449326	1	2018	EMBO Mol Med
29472246	1	2018	EMBO Mol Med
29523594	1	2018	EMBO Mol Med
29531021	1	2018	EMBO Mol Med
29540470	1	2018	EMBO Mol Med
29674392	1	2018	EMBO Mol Med
20010802	1	2010	EMBO Rep
20134481	1	2010	EMBO Rep
20134482	1	2010	EMBO Rep
20154642	1	2010	EMBO Rep
20300119	1	2010	EMBO Rep
20467438	1	2010	EMBO Rep
20508641	1	2010	EMBO Rep
20508642	1	2010	EMBO Rep
20559324	1	2010	EMBO Rep
20577265	1	2010	EMBO Rep
20847738	1	2010	EMBO Rep
20890309	1	2010	EMBO Rep
20930845	1	2010	EMBO Rep
21151042	1	2011	EMBO Rep
21212803	1	2011	EMBO Rep
21212806	1	2011	EMBO Rep
21252941	1	2011	EMBO Rep
21311558	1	2011	EMBO Rep
21372850	1	2011	EMBO Rep
21415858	1	2011	EMBO Rep
21508962	1	2011	EMBO Rep
21597468	1	2011	EMBO Rep
21701506	1	2011	EMBO Rep
21720388	1	2011	EMBO Rep
21720390	1	2011	EMBO Rep
21836637	1	2011	EMBO Rep
21941299	1	2011	EMBO Rep
21979816	1	2011	EMBO Rep
22056818	1	2011	EMBO Rep
22081137	1	2011	EMBO Rep
22157888	1	2011	EMBO Rep
22157894	1	2011	EMBO Rep
22173032	1	2012	EMBO Rep
22222206	1	2012	EMBO Rep
22249165	1	2012	EMBO Rep
22322943	1	2012	EMBO Rep
22370726	1	2012	EMBO Rep
22402663	1	2012	EMBO Rep
22402666	1	2012	EMBO Rep
22441692	1	2012	EMBO Rep
22482125	1	2012	EMBO Rep
22964757	1	2012	EMBO Rep
22995871	1	2012	EMBO Rep
23079727	1	2012	EMBO Rep
23090476	1	2012	EMBO Rep
23146885	1	2012	EMBO Rep
23392225	1	2013	EMBO Rep
23429341	1	2013	EMBO Rep
23478333	1	2013	EMBO Rep
23559067	1	2013	EMBO Rep
23670199	1	2013	EMBO Rep
23877428	1	2013	EMBO Rep
23907538	1	2013	EMBO Rep
23917616	1	2013	EMBO Rep
23928811	1	2013	EMBO Rep
23969954	1	2013	EMBO Rep
23969955	1	2013	EMBO Rep
23999102	1	2013	EMBO Rep
23999103	1	2013	EMBO Rep
24060902	1	2013	EMBO Rep
24157948	1	2013	EMBO Rep
24355609	1	2014	EMBO Rep
24357660	1	2014	EMBO Rep
24378641	1	2014	EMBO Rep
24531722	1	2014	EMBO Rep
24610369	1	2014	EMBO Rep
24639556	1	2014	EMBO Rep
24639560	1	2014	EMBO Rep
24668262	1	2014	EMBO Rep
24668263	1	2014	EMBO Rep
24671035	1	2014	EMBO Rep
24711543	1	2014	EMBO Rep
24778456	1	2014	EMBO Rep
24820037	1	2014	EMBO Rep
24825474	1	2014	EMBO Rep
24878850	1	2014	EMBO Rep
24878851	1	2014	EMBO Rep
24891386	1	2014	EMBO Rep
24916387	1	2014	EMBO Rep
24990442	1	2014	EMBO Rep
25097252	1	2014	EMBO Rep
25135951	1	2014	EMBO Rep
25205686	1	2014	EMBO Rep
25227738	1	2014	EMBO Rep
25296644	1	2014	EMBO Rep
25344561	1	2014	EMBO Rep
25355043	1	2014	EMBO Rep
25378482	1	2014	EMBO Rep
25520322	1	2015	EMBO Rep
25572843	1	2015	EMBO Rep
25694116	1	2015	EMBO Rep
25700280	1	2015	EMBO Rep
25736436	1	2015	EMBO Rep
25755256	1	2015	EMBO Rep
25770130	1	2015	EMBO Rep
25802403	1	2015	EMBO Rep
25807985	1	2015	EMBO Rep
25807986	1	2015	EMBO Rep
25947198	1	2015	EMBO Rep
26113365	1	2015	EMBO Rep
26142281	1	2015	EMBO Rep
26206718	1	2015	EMBO Rep
26209246	1	2015	EMBO Rep
26232272	1	2015	EMBO Rep
26265006	1	2015	EMBO Rep
26303948	1	2015	EMBO Rep
26564908	1	2016	EMBO Rep
26589352	1	2016	EMBO Rep
26682800	1	2016	EMBO Rep
26711429	1	2016	EMBO Rep
26755743	1	2016	EMBO Rep
26758805	1	2016	EMBO Rep
26769565	1	2016	EMBO Rep
26882544	1	2016	EMBO Rep
26882545	1	2016	EMBO Rep
26882546	1	2016	EMBO Rep
26929027	1	2016	EMBO Rep
26931567	1	2016	EMBO Rep
26931569	1	2016	EMBO Rep
26935556	1	2016	EMBO Rep
27013495	1	2016	EMBO Rep
27113760	1	2016	EMBO Rep
27113762	1	2016	EMBO Rep
27154400	1	2016	EMBO Rep
27283940	1	2016	EMBO Rep
27418313	1	2016	EMBO Rep
27562601	1	2016	EMBO Rep
27670884	1	2016	EMBO Rep
27733491	1	2016	EMBO Rep
27737934	1	2016	EMBO Rep
27799287	1	2017	EMBO Rep
27827795	1	2017	EMBO Rep
27872203	1	2016	EMBO Rep
27979975	1	2017	EMBO Rep
28007765	1	2017	EMBO Rep
28119373	1	2017	EMBO Rep
28219902	1	2017	EMBO Rep
28219903	1	2017	EMBO Rep
28223321	1	2017	EMBO Rep
28232627	1	2017	EMBO Rep
28270525	1	2017	EMBO Rep
28341812	1	2017	EMBO Rep
28364022	1	2017	EMBO Rep
28420656	1	2017	EMBO Rep
28468955	1	2017	EMBO Rep
28483841	1	2017	EMBO Rep
28539390	1	2017	EMBO Rep
28588072	1	2017	EMBO Rep
28607034	1	2017	EMBO Rep
28607035	1	2017	EMBO Rep
28615291	1	2017	EMBO Rep
28615293	1	2017	EMBO Rep
28623188	1	2017	EMBO Rep
28637682	1	2017	EMBO Rep
28645943	1	2017	EMBO Rep
28652379	1	2017	EMBO Rep
28684399	1	2017	EMBO Rep
28701326	1	2017	EMBO Rep
28705801	1	2017	EMBO Rep
28743713	1	2017	EMBO Rep
28747490	1	2017	EMBO Rep
28747491	1	2017	EMBO Rep
28751311	1	2017	EMBO Rep
28784601	1	2017	EMBO Rep
28784603	1	2017	EMBO Rep
28794201	1	2017	EMBO Rep
28794202	1	2017	EMBO Rep
28801535	1	2017	EMBO Rep
28808112	1	2017	EMBO Rep
28808113	1	2017	EMBO Rep
28835547	1	2017	EMBO Rep
28835548	1	2017	EMBO Rep
28855306	1	2017	EMBO Rep
28864816	1	2017	EMBO Rep
28887319	1	2017	EMBO Rep
28887320	1	2017	EMBO Rep
28887321	1	2017	EMBO Rep
28893864	1	2017	EMBO Rep
28928140	1	2017	EMBO Rep
28982940	1	2017	EMBO Rep
29061874	1	2017	EMBO Rep
29074503	1	2017	EMBO Rep
29097393	1	2017	EMBO Rep
29097394	1	2017	EMBO Rep
29141987	1	2018	EMBO Rep
29158349	1	2018	EMBO Rep
29158350	1	2017	EMBO Rep
29191979	1	2018	EMBO Rep
29233829	1	2018	EMBO Rep
29237715	1	2018	EMBO Rep
29258993	1	2018	EMBO Rep
29263200	1	2018	EMBO Rep
29282215	1	2018	EMBO Rep
29330318	1	2018	EMBO Rep
29335246	1	2018	EMBO Rep
29371327	1	2018	EMBO Rep
29420235	1	2018	EMBO Rep
29437694	1	2018	EMBO Rep
29438979	1	2018	EMBO Rep
29440124	1	2018	EMBO Rep
29440125	1	2018	EMBO Rep
29444933	1	2018	EMBO Rep
29459485	1	2018	EMBO Rep
29459486	1	2018	EMBO Rep
29459487	1	2018	EMBO Rep
29467281	1	2018	EMBO Rep
29467283	1	2018	EMBO Rep
29491003	1	2018	EMBO Rep
29491006	1	2018	EMBO Rep
29514862	1	2018	EMBO Rep
29588285	1	2018	EMBO Rep
29592859	1	2018	EMBO Rep
29599149	1	2018	EMBO Rep
29615393	1	2018	EMBO Rep
29632244	1	2018	EMBO Rep
29643120	1	2018	EMBO Rep
29661858	1	2018	EMBO Rep
29661859	1	2018	EMBO Rep
29669796	1	2018	EMBO Rep
29674348	1	2018	EMBO Rep
29695587	1	2018	EMBO Rep
29712776	1	2018	EMBO Rep
29752334	1	2018	EMBO Rep
29777051	1	2018	EMBO Rep
29789387	1	2018	EMBO Rep
29794156	1	2018	EMBO Rep
29848511	1	2018	EMBO Rep
29875149	1	2018	EMBO Rep
29880709	1	2018	EMBO Rep
29880710	1	2018	EMBO Rep
29895711	1	2018	EMBO Rep
29895712	1	2018	EMBO Rep
29898954	1	2018	EMBO Rep
29907679	1	2018	EMBO Rep
29945933	1	2018	EMBO Rep
29954836	1	2018	EMBO Rep
29959161	1	2018	EMBO Rep
30037898	1	2018	EMBO Rep
29141991	1	2018	Endocr Connect
19850745	1	2010	Endocrinology
19880809	1	2010	Endocrinology
19887567	1	2010	Endocrinology
19887571	1	2010	Endocrinology
19906813	1	2010	Endocrinology
19906816	1	2010	Endocrinology
19934374	1	2010	Endocrinology
19934377	1	2010	Endocrinology
19934378	1	2010	Endocrinology
19952276	1	2010	Endocrinology
19966186	1	2010	Endocrinology
19966188	1	2010	Endocrinology
19996182	1	2010	Endocrinology
20008041	1	2010	Endocrinology
20016025	1	2010	Endocrinology
20022933	1	2010	Endocrinology
20022934	1	2010	Endocrinology
20032047	1	2010	Endocrinology
20032048	1	2010	Endocrinology
20032051	1	2010	Endocrinology
20032056	1	2010	Endocrinology
20051486	1	2010	Endocrinology
20056822	1	2010	Endocrinology
20056823	1	2010	Endocrinology
20056825	1	2010	Endocrinology
20056833	1	2010	Endocrinology
20068004	1	2010	Endocrinology
20068010	1	2010	Endocrinology
20118198	1	2010	Endocrinology
20130115	1	2010	Endocrinology
20133453	1	2010	Endocrinology
20147524	1	2010	Endocrinology
20160132	1	2010	Endocrinology
20172966	1	2010	Endocrinology
20172967	1	2010	Endocrinology
20172968	1	2010	Endocrinology
20176720	1	2010	Endocrinology
20176721	1	2010	Endocrinology
20176723	1	2010	Endocrinology
20176725	1	2010	Endocrinology
20181795	1	2010	Endocrinology
20181799	1	2010	Endocrinology
20181800	1	2010	Endocrinology
20185760	1	2010	Endocrinology
20185763	1	2010	Endocrinology
20185765	1	2010	Endocrinology
20185766	1	2010	Endocrinology
20185768	1	2010	Endocrinology
20189996	1	2010	Endocrinology
20189998	1	2010	Endocrinology
20194728	1	2010	Endocrinology
20194731	1	2010	Endocrinology
20203154	1	2010	Endocrinology
20211971	1	2010	Endocrinology
20215569	1	2010	Endocrinology
20219979	1	2010	Endocrinology
20228170	1	2010	Endocrinology
20228172	1	2010	Endocrinology
20228173	1	2010	Endocrinology
20233794	1	2010	Endocrinology
20233797	1	2010	Endocrinology
20305008	1	2010	Endocrinology
20339025	1	2010	Endocrinology
20363877	1	2010	Endocrinology
20392825	1	2010	Endocrinology
20392836	1	2010	Endocrinology
20410205	1	2010	Endocrinology
20410206	1	2010	Endocrinology
20427481	1	2010	Endocrinology
20444942	1	2010	Endocrinology
20444943	1	2010	Endocrinology
20463052	1	2010	Endocrinology
20484460	1	2010	Endocrinology
20501666	1	2010	Endocrinology
20501669	1	2010	Endocrinology
20501672	1	2010	Endocrinology
20501677	1	2010	Endocrinology
20519371	1	2010	Endocrinology
20519372	1	2010	Endocrinology
20534719	1	2010	Endocrinology
20534724	1	2010	Endocrinology
20534727	1	2010	Endocrinology
20555027	1	2010	Endocrinology
20555029	1	2010	Endocrinology
20555035	1	2010	Endocrinology
20573723	1	2010	Endocrinology
20591974	1	2010	Endocrinology
20610563	1	2010	Endocrinology
20610564	1	2010	Endocrinology
20610565	1	2010	Endocrinology
20610569	1	2010	Endocrinology
20610570	1	2010	Endocrinology
20610571	1	2010	Endocrinology
20610572	1	2010	Endocrinology
20630999	1	2010	Endocrinology
20660060	1	2010	Endocrinology
20660065	1	2010	Endocrinology
20660067	1	2010	Endocrinology
20660068	1	2010	Endocrinology
20668028	1	2010	Endocrinology
20668031	1	2010	Endocrinology
20685868	1	2010	Endocrinology
20685873	1	2010	Endocrinology
20685874	1	2010	Endocrinology
20702572	1	2010	Endocrinology
20702576	1	2010	Endocrinology
20702578	1	2010	Endocrinology
20719856	1	2010	Endocrinology
20736406	1	2010	Endocrinology
20739401	1	2010	Endocrinology
20810562	1	2010	Endocrinology
20810566	1	2010	Endocrinology
20843999	1	2010	Endocrinology
20861235	1	2010	Endocrinology
20881240	1	2010	Endocrinology
20881244	1	2010	Endocrinology
20881250	1	2010	Endocrinology
20926579	1	2010	Endocrinology
20926580	1	2010	Endocrinology
20926583	1	2010	Endocrinology
20926585	1	2010	Endocrinology
20962046	1	2010	Endocrinology
20962048	1	2010	Endocrinology
21047948	1	2010	Endocrinology
21068156	1	2011	Endocrinology
21084446	1	2011	Endocrinology
21084447	1	2011	Endocrinology
21084449	1	2011	Endocrinology
21084451	1	2011	Endocrinology
21106871	1	2011	Endocrinology
21106872	1	2011	Endocrinology
21123436	1	2011	Endocrinology
21159851	1	2011	Endocrinology
21159854	1	2011	Endocrinology
21159855	1	2011	Endocrinology
21159856	1	2011	Endocrinology
21177828	1	2011	Endocrinology
21177831	1	2011	Endocrinology
21190963	1	2011	Endocrinology
21209012	1	2011	Endocrinology
21209017	1	2011	Endocrinology
21209019	1	2011	Endocrinology
21209023	1	2011	Endocrinology
21209025	1	2011	Endocrinology
21239433	1	2011	Endocrinology
21239436	1	2011	Endocrinology
21239438	1	2011	Endocrinology
21239440	1	2011	Endocrinology
21239444	1	2011	Endocrinology
21248142	1	2011	Endocrinology
21248143	1	2011	Endocrinology
21248145	1	2011	Endocrinology
21266506	1	2011	Endocrinology
21266507	1	2011	Endocrinology
21266510	1	2011	Endocrinology
21266511	1	2011	Endocrinology
21266512	1	2011	Endocrinology
21285310	1	2011	Endocrinology
21285312	1	2011	Endocrinology
21285316	1	2011	Endocrinology
21285317	1	2011	Endocrinology
21303938	1	2011	Endocrinology
21303944	1	2011	Endocrinology
21303954	1	2011	Endocrinology
21303955	1	2011	Endocrinology
21325041	1	2011	Endocrinology
21325042	1	2011	Endocrinology
21325049	1	2011	Endocrinology
21325051	1	2011	Endocrinology
21343251	1	2011	Endocrinology
21343259	1	2011	Endocrinology
21363932	1	2011	Endocrinology
21363936	1	2011	Endocrinology
21363937	1	2011	Endocrinology
21385936	1	2011	Endocrinology
21406500	1	2011	Endocrinology
21406501	1	2011	Endocrinology
21427221	1	2011	Endocrinology
21447627	1	2011	Endocrinology
21447628	1	2011	Endocrinology
21447630	1	2011	Endocrinology
21447634	1	2011	Endocrinology
21447638	1	2011	Endocrinology
21447640	1	2011	Endocrinology
21467193	1	2011	Endocrinology
21467195	1	2011	Endocrinology
21467199	1	2011	Endocrinology
21486933	1	2011	Endocrinology
21486934	1	2011	Endocrinology
21521746	1	2011	Endocrinology
21521749	1	2011	Endocrinology
21521753	1	2011	Endocrinology
21540283	1	2011	Endocrinology
21540289	1	2011	Endocrinology
21540290	1	2011	Endocrinology
21540291	1	2011	Endocrinology
21558310	1	2011	Endocrinology
21558314	1	2011	Endocrinology
21586553	1	2011	Endocrinology
21586554	1	2011	Endocrinology
21586556	1	2011	Endocrinology
21586558	1	2011	Endocrinology
21586559	1	2011	Endocrinology
21586562	1	2011	Endocrinology
21628384	1	2011	Endocrinology
21628386	1	2011	Endocrinology
21652725	1	2011	Endocrinology
21652727	1	2011	Endocrinology
21652729	1	2011	Endocrinology
21673097	1	2011	Endocrinology
21673098	1	2011	Endocrinology
21673101	1	2011	Endocrinology
21673102	1	2011	Endocrinology
21693678	1	2011	Endocrinology
21712364	1	2011	Endocrinology
21733828	1	2011	Endocrinology
21733829	1	2011	Endocrinology
21733830	1	2011	Endocrinology
21733831	1	2011	Endocrinology
21771891	1	2011	Endocrinology
21791561	1	2011	Endocrinology
21791564	1	2011	Endocrinology
21791565	1	2011	Endocrinology
21828183	1	2011	Endocrinology
21828184	1	2011	Endocrinology
21828185	1	2011	Endocrinology
21846799	1	2011	Endocrinology
21862608	1	2011	Endocrinology
21862609	1	2011	Endocrinology
21862613	1	2011	Endocrinology
21862616	1	2011	Endocrinology
21862617	1	2011	Endocrinology
21878513	1	2011	Endocrinology
21878515	1	2011	Endocrinology
21896668	1	2011	Endocrinology
21914774	1	2011	Endocrinology
21914775	1	2011	Endocrinology
21933870	1	2011	Endocrinology
21952235	1	2011	Endocrinology
21952240	1	2011	Endocrinology
21952241	1	2011	Endocrinology
21952242	1	2011	Endocrinology
21952243	1	2011	Endocrinology
21952247	1	2011	Endocrinology
21971153	1	2011	Endocrinology
21971155	1	2011	Endocrinology
21971157	1	2011	Endocrinology
21990309	1	2011	Endocrinology
21990313	1	2011	Endocrinology
22009723	1	2011	Endocrinology
22009725	1	2011	Endocrinology
22009727	1	2011	Endocrinology
22028439	1	2012	Endocrinology
22028441	1	2011	Endocrinology
22028442	1	2012	Endocrinology
22028443	1	2011	Endocrinology
22045660	1	2011	Endocrinology
22045663	1	2012	Endocrinology
22045665	1	2012	Endocrinology
22067315	1	2012	Endocrinology
22067317	1	2012	Endocrinology
22067318	1	2012	Endocrinology
22067321	1	2012	Endocrinology
22067324	1	2012	Endocrinology
22087027	1	2012	Endocrinology
22109883	1	2012	Endocrinology
